id,CustomerNumber,item_id,description,quantity_used,delivery_frequency,delivery_day,billing_type,billing_frequency,customer_price,unit_price,billing_percentage,auto_soil_count,last_delivery_date
181,211150,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
182,233643,76080310,MAT-NY/RB-OX GRY3X10,2,Weekly,5,,Monthly,,,,,
183,237322,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
184,265978,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
185,266010,76080310,MAT-NY/RB-OX GRY3X10,2,Weekly,5,,Monthly,,,,,
186,274083,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
187,282978,76080310,MAT-NY/RB-OX GRY3X10,2,Weekly,5,,Monthly,,,,,
188,290083,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
189,306464,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
190,315175,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
191,320179,76080310,MAT-NY/RB-OX GRY3X10,3,Weekly,5,,Monthly,,,,,
192,321167,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
193,322116,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
194,323106,76080310,MAT-NY/RB-OX GRY3X10,4,Weekly,5,,Monthly,,,,,
195,323109,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
196,171523,76080406,MAT-NY/RB-OX GRY-4X6,2,Weekly,5,,Monthly,,,,,
197,171574,76080406,MAT-NY/RB-OX GRY-4X6,1,Weekly,5,,Monthly,,,,,
198,171622,76080406,MAT-NY/RB-OX GRY-4X6,1,Weekly,5,,Monthly,,,,,
199,171633,76080406,MAT-NY/RB-OX GRY-4X6,2,Weekly,5,,Monthly,,,,,
200,282978,76080406,MAT-NY/RB-OX GRY-4X6,2,Weekly,5,,Monthly,,,,,
201,303253,76080406,MAT-NY/RB-OX GRY-4X6,1,Weekly,5,,Monthly,,,,,
202,306464,76080406,MAT-NY/RB-OX GRY-4X6,1,Weekly,5,,Monthly,,,,,
203,321167,76080406,MAT-NY/RB-OX GRY-4X6,1,Weekly,5,,Monthly,,,,,
204,321845,76080406,MAT-NY/RB-OX GRY-4X6,1,Weekly,5,,Monthly,,,,,
205,288386,76280406,MAT-OXF GRY-MHL-4X6,5,Weekly,5,,Monthly,,,,,
206,171573,80101100,TOWEL-ROLL-BLUE-LRG,2,Weekly,5,,Monthly,,,,,
