id,RouteNumber,ServiceDay,item_id,description,total_quantity
413,75,Friday,41340000,Towel-Bath-Jumbo,183
414,75,Friday,41720000,Towel-School-Yellow,50
415,75,Friday,41820000,WASH CLOTH,163
416,75,Friday,52625296,Cloth-P-Ivory-54x96,10
417,75,Friday,53505212,Cloth-P-White-54x120,10
418,75,Friday,53508585,Cloth-P-White-85x85 ,10
419,75,Friday,56102020,NAPKIN-BLK SPUN POLY,860
420,75,Friday,56652020,Napkin-Caravel-Red,150
421,75,Friday,56902020,NAPKIN-WHT SPUN POLY,10
422,75,Friday,70402032,MOP-WET-TB-MF-BL-XL,1
423,75,Friday,70423600,DUST MOP-LARGE,5
424,75,Friday,70424200,"DUST MOP-42""-GREEN",2
425,75,Friday,70442400,DUST MOP-MEDIUM,6
426,75,Friday,70544200,Dust Mop-42         ,10
427,75,Friday,70622400,Dust Mop-24 Untreate,13
428,75,Friday,70623600,Dust Mop-36 Untreate,24
429,75,Friday,70626000,Dust Mop-60 Untreate,5
430,75,Friday,70742400,WET MOP-LARGE,7
431,75,Friday,74000000,Mat-Custom-Graphic  ,1
432,75,Friday,74000304,Mat-Graphic-3x4,7
433,75,Friday,74000310,Mat-Graphic-3x10    ,4
434,75,Friday,74000406,Mat-Graphic-4x6,10
435,75,Friday,74880304,Mat-Logo-3x4        ,1
436,75,Friday,74880406,Mat-Logo-4x6        ,6
437,75,Friday,76000000,Mat-Custom-Logo     ,5
438,75,Friday,76060304,MAT-NY/RB-CH RED-3X4,1
439,75,Friday,76060310,MAT-NY/RB-CH RED3X10,1
440,75,Friday,76060406,MAT-NY/RB-CH RED-4X6,1
441,75,Friday,76070304,MAT-NY/RB-HNYCMB-3X4,6
442,75,Friday,76070406,MAT-NY/RB-HNYCMB-4X6,8
443,75,Friday,76080304,MAT-NY/RB-OX GRY-3X4,99
444,75,Friday,76080310,MAT-NY/RB-OX GRY3X10,36
445,75,Friday,76080406,MAT-NY/RB-OX GRY-4X6,44
446,75,Friday,76140304,MAT-NYL/RUBR-SAFETY,4
447,75,Friday,76280310,MAT-OXF GRY-MHL-3X10,7
448,75,Friday,76280406,MAT-OXF GRY-MHL-4X6,5
449,75,Friday,79300000,Rags-Sale-Terry     ,9
450,75,Friday,80101100,TOWEL-ROLL-BLUE-LRG,9
451,75,Friday,80121100,TOWEL-ROLL-WHITE-LRG,5
452,75,Friday,82690000,FM-ANTIBAC FOAM SOAP,1
453,75,Friday,87392022,MOP-WET-TUBE-MF-BL-M,2
454,75,Friday,87392023,MOP-WET-TUBE-MF-BL-L,1
455,75,Friday,87399023,MOP-WET-TUBE-MF-BL-L,116
456,75,Friday,94030000,Hosp-Blkt-Flnhb-Sand,22
457,75,Friday,94066690,Blanket-Thermal-Wht,10
458,75,Friday,95150000,Gown-Patient-Print,10
459,75,Friday,97190305,Walkoff Mat-3x5-Cog ,3
460,75,Friday,97190310,Walkoff Mat-3x10-Cog,13
461,75,Friday,97190406,Walkoff Mat-4x6-Cog,1
